employee_id,company_id,dept,seniority,salary,join_date,quit_date,length_employment,quit_month,join_month
13021,7,customer_service,28,89000,2014-03-24,2015-10-30,585,10,3
825355,7,marketing,20,183000,2013-04-29,2014-04-04,340,4,4
927315,4,marketing,14,101000,2014-10-13,,426,,10
662910,7,customer_service,20,115000,2012-05-14,2013-06-07,389,6,5
256971,2,data_science,23,276000,2011-10-17,2014-08-22,1040,8,10
509529,4,data_science,14,165000,2012-01-30,2013-08-30,578,8,1
88600,4,customer_service,21,107000,2013-10-21,,783,,10
716309,2,customer_service,4,30000,2014-03-05,,648,,3
172999,9,engineer,7,160000,2012-12-10,2015-10-23,1047,10,12
504159,1,sales,7,104000,2012-06-12,,1279,,6
892155,6,customer_service,13,72000,2012-11-12,2015-02-27,837,2,11
904158,2,marketing,17,230000,2015-05-11,,216,,5
939058,1,marketing,1,48000,2012-12-10,2013-11-15,340,11,12
163427,10,marketing,23,154000,2012-06-18,2015-09-25,1194,9,6
461248,2,sales,20,201000,2013-09-16,2014-08-22,340,8,9
265226,1,data_science,4,80000,2014-05-27,2015-07-10,409,7,5
932790,7,marketing,10,88000,2011-11-30,2013-11-22,723,11,11
69693,7,customer_service,6,54000,2014-03-31,,622,,3
721600,2,marketing,20,193000,2014-12-29,,349,,12
982668,1,customer_service,14,76000,2015-07-27,,139,,7
123896,7,engineer,19,231000,2015-10-19,,55,,10
219944,6,customer_service,15,98000,2012-06-25,2013-05-31,340,5,6
569302,5,data_science,14,144000,2011-11-28,2015-07-06,1316,7,11
189981,3,marketing,14,97000,2013-08-20,2014-08-15,360,8,8
819445,2,marketing,6,151000,2013-07-29,2014-08-01,368,8,7
467023,3,customer_service,15,110000,2011-05-31,2013-02-08,619,2,5
6808,4,data_science,26,230000,2013-08-26,,839,,8
940786,3,data_science,27,223000,2011-03-21,2012-03-02,347,3,3
888375,1,customer_service,5,75000,2011-08-01,2013-10-04,795,10,8
564835,5,customer_service,6,71000,2011-02-14,2014-04-11,1152,4,2
72260,1,engineer,18,315000,2015-06-08,,188,,6
476097,1,customer_service,23,111000,2012-07-16,2015-05-15,1033,5,7
922883,7,engineer,16,291000,2015-03-31,,257,,3
29950,2,design,20,210000,2013-05-20,,937,,5
298691,1,engineer,21,259000,2014-08-26,,474,,8
361378,2,marketing,25,207000,2013-03-11,2015-01-16,676,1,3
958767,7,customer_service,19,103000,2012-10-08,2013-10-11,368,10,10
942845,4,sales,14,105000,2012-06-25,2013-05-31,340,5,6
573299,9,customer_service,20,108000,2015-04-13,,244,,4
739669,2,engineer,9,178000,2011-11-28,,1476,,11
390806,3,customer_service,23,101000,2013-03-18,,1000,,3
489148,2,engineer,5,192000,2014-04-21,,601,,4
991265,5,data_science,14,154000,2011-06-13,2012-07-27,410,7,6
13380,9,customer_service,20,117000,2012-02-21,2014-01-17,696,1,2
16871,1,customer_service,23,100000,2015-03-31,,257,,3
537932,1,customer_service,7,89000,2014-08-18,2015-08-13,360,8,8
282949,8,data_science,26,218000,2015-03-16,,272,,3
139022,2,data_science,20,317000,2011-11-28,2014-11-21,1089,11,11
945037,9,engineer,27,192000,2015-05-04,,223,,5
695896,7,sales,7,100000,2012-07-30,2013-07-12,347,7,7
280427,1,marketing,9,112000,2011-06-13,2015-05-15,1432,5,6
611637,3,marketing,2,39000,2012-06-25,2014-09-26,823,9,6
437897,10,customer_service,29,99000,2014-07-29,2015-08-28,395,8,7
960822,9,customer_service,9,70000,2012-01-09,2013-03-08,424,3,1
789114,1,data_science,2,76000,2012-05-07,2015-07-24,1173,7,5
87671,1,sales,9,122000,2013-12-16,2015-01-30,410,1,12
75539,1,engineer,13,180000,2012-06-04,,1287,,6
244626,1,marketing,3,47000,2012-03-12,2013-04-05,389,4,3
957742,1,customer_service,29,141000,2013-07-15,2014-05-02,291,5,7
268784,4,marketing,5,99000,2012-02-21,2014-12-19,1032,12,2
701728,2,customer_service,19,109000,2012-08-27,2014-03-25,575,3,8
54096,1,data_science,23,338000,2011-09-14,2013-10-18,765,10,9
41164,1,customer_service,28,133000,2014-09-02,2015-09-04,367,9,9
779068,2,sales,25,166000,2014-11-24,2015-10-30,340,10,11
503937,3,customer_service,5,68000,2014-12-29,,349,,12
47442,1,customer_service,8,90000,2013-10-07,,797,,10
928528,1,data_science,18,300000,2015-03-23,,265,,3
263170,2,data_science,28,265000,2012-10-22,,1147,,10
707610,7,marketing,27,158000,2012-06-25,2015-02-20,970,2,6
864762,3,customer_service,22,89000,2013-06-03,2015-02-27,634,2,6
428183,1,data_science,1,79000,2014-10-13,,426,,10
727560,1,design,29,216000,2011-03-21,2013-01-11,662,1,3
641843,3,customer_service,18,90000,2012-01-23,2014-04-04,802,4,1
752719,1,sales,4,57000,2013-03-13,2014-02-21,345,2,3
970566,8,sales,4,39000,2011-04-18,2015-02-06,1390,2,4
611675,3,customer_service,8,68000,2012-10-08,2013-09-27,354,9,10
176568,5,marketing,18,151000,2015-03-30,,258,,3
507843,5,engineer,23,275000,2011-08-02,,1594,,8
895072,7,marketing,23,180000,2015-11-16,,27,,11
678783,2,marketing,15,216000,2014-12-01,,377,,12
660969,1,customer_service,23,126000,2014-03-10,,643,,3
539604,9,customer_service,13,60000,2015-07-13,,153,,7
244440,7,marketing,7,87000,2013-07-16,2014-06-20,339,6,7
511426,3,customer_service,28,99000,2013-11-11,2015-10-09,697,10,11
58586,2,engineer,28,357000,2014-07-14,,517,,7
312508,1,marketing,24,170000,2012-02-29,2013-04-01,397,4,2
998574,5,marketing,6,106000,2013-09-23,2015-07-31,676,7,9
389668,1,sales,5,113000,2012-01-03,2012-10-19,290,10,1
176931,2,engineer,25,314000,2012-01-30,2015-01-02,1068,1,1
849741,1,customer_service,22,123000,2015-07-07,,159,,7
153827,8,marketing,19,150000,2011-07-18,2014-08-15,1124,8,7
939712,2,customer_service,12,68000,2015-06-08,,188,,6
172148,4,engineer,22,243000,2014-12-22,,356,,12
821911,6,engineer,2,50000,2013-12-02,,741,,12
440303,8,customer_service,1,24000,2011-09-19,2012-10-26,403,10,9
669716,2,data_science,23,323000,2012-02-27,2015-02-27,1096,2,2
891337,8,data_science,14,167000,2013-12-30,,713,,12
751235,3,sales,13,99000,2014-07-21,,510,,7
248453,4,customer_service,15,107000,2012-01-17,2014-09-26,983,9,1
695819,5,customer_service,10,66000,2013-07-01,2014-06-27,361,6,7
763336,7,customer_service,8,61000,2014-02-25,,656,,2
58880,10,customer_service,25,97000,2015-02-17,,299,,2
713537,2,customer_service,15,123000,2015-08-03,,132,,8
80669,6,design,24,130000,2011-10-03,2012-09-28,361,9,10
520415,3,customer_service,14,68000,2011-09-26,2012-08-29,338,8,9
908625,4,engineer,16,245000,2014-04-14,2015-05-01,382,5,4
593208,3,customer_service,13,63000,2012-11-05,,1133,,11
518561,4,design,18,165000,2013-04-08,2014-02-13,311,2,4
712645,1,customer_service,27,123000,2011-10-03,2014-11-21,1145,11,10
527399,2,data_science,6,203000,2015-01-26,,321,,1
472895,2,sales,28,206000,2014-02-12,,669,,2
684003,9,engineer,5,156000,2015-08-31,,104,,8
